EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GripForce,Subject
4,2,0,-1,1,-1,1,9,0,1
-9,3,5,-1,-2,-2,0,-14,0,1
1,-7,2,1,1,0,1,5,0,1
3,10,1,-1,-1,-1,0,-1,0,1
-4,-12,-2,-1,-2,-2,-4,-17,0,1
-2,-2,-6,-4,-1,-2,-1,-5,0,1
1,4,-2,0,-3,-2,2,2,0,1
-2,-6,-1,-1,-2,-1,-2,-6,0,1
-3,10,0,1,0,0,-2,-1,0,1
-6,-10,0,-3,-2,-2,-2,6,0,1
3,19,0,-1,0,-1,-2,10,0,1
-1,-26,-5,-2,-3,-2,-3,1,0,1
-2,1,-2,0,-1,0,-2,-10,0,1
3,-6,-4,0,-1,-2,2,-2,0,1
10,3,1,0,1,0,-4,15,0,1
-3,23,3,0,1,-1,4,-18,0,1
-4,-14,0,-2,0,1,4,-9,0,1
-9,-3,-3,-3,-4,-5,-18,-47,0,1
-2,-8,-6,-4,-2,-2,2,-2,0,1
-1,4,3,-1,-1,-2,-2,0,0,1
0,12,-1,-1,-1,-1,2,9,0,1
-7,-5,1,1,0,-1,2,-1,0,1
29,-15,-3,-1,-1,-1,-1,-1,0,1
-25,5,-2,-1,-4,-3,-11,-26,0,1
7,-8,-1,-1,0,-2,2,18,0,1
5,1,-1,-1,0,4,7,7,0,1
-15,-1,-1,-3,-2,-4,8,-2,0,1
17,-2,0,-2,-2,-5,-15,-4,0,1
-7,5,1,-1,-1,-2,-14,-25,0,1
2,-4,-2,-1,2,7,39,17,0,1
-2,6,5,3,0,-3,-17,-4,0,1
2,1,-5,-3,-2,-10,-34,-12,0,1
-15,-27,-6,-3,-4,-3,-20,-10,0,1
-1,1,0,2,-2,-1,-12,8,0,1
-21,1,1,-3,0,4,9,-7,0,1
-7,2,-1,1,-1,4,15,15,0,1
7,3,0,0,-2,-2,-3,14,0,1
6,1,1,0,-1,-3,-4,0,0,1
-12,-5,-4,-3,-1,1,9,-8,0,1
-1,-1,-1,1,1,-1,2,3,0,1
12,1,-1,-1,-1,-1,9,4,0,1
-9,0,0,0,0,-1,-1,-7,0,1
-15,1,-4,-5,-3,-5,-7,-18,0,1
13,-5,-1,0,-1,-1,9,11,0,1
-6,3,4,0,-1,2,8,-1,0,1
-33,1,-2,-3,-2,-5,-5,-31,0,1
39,3,0,0,-1,-2,-13,5,0,1
-60,-14,-5,-3,-1,4,3,-4,0,1
13,0,0,0,-2,1,36,20,0,1
5,-2,0,-2,-2,-3,-26,1,0,1
2,9,-6,-1,-1,-3,-7,-2,0,1
15,-2,5,-1,1,1,9,11,0,1
-9,-1,-1,-1,0,2,-1,-10,0,1
22,1,-3,-1,0,-2,20,15,0,1
-26,-12,-3,-3,-3,-2,-15,2,0,1
16,2,-3,-1,0,-2,4,10,0,1
-11,-6,-5,-4,0,-2,-9,-1,0,1
19,-2,1,0,-1,0,-3,3,0,1
2,-8,2,0,-1,1,7,9,0,1
5,5,2,1,1,-1,7,-1,0,1
-17,-5,-1,0,-3,-1,-5,-11,0,1
18,14,-2,-1,2,-1,-4,7,0,1
-47,-14,-3,0,-1,-1,-1,-12,0,1
4,4,0,-1,-2,1,3,1,0,1
0,9,4,0,1,-1,-6,-10,0,1
-10,-7,-4,-2,-1,0,-2,13,0,1
28,3,1,2,0,0,4,17,0,1
-3,-9,-3,-2,-2,-2,-1,-15,0,1
8,7,-4,-2,-1,-2,-2,0,0,1
-11,-8,-1,-1,-1,0,2,-9,0,1
-1,5,0,0,-3,-2,2,-1,0,1
-12,-6,-4,-1,-2,2,-3,12,0,1
9,-2,0,-1,-3,-5,-9,-32,0,1
-4,-8,-5,-2,0,0,1,10,0,1
25,6,4,2,2,0,3,1,0,1
-29,-3,2,1,-1,-1,1,-2,0,1
3,3,-2,-1,-2,-1,-1,12,0,1
-9,-14,0,-3,-3,-3,0,-10,0,1
